timestamp,file_path,attempt,error_type,error_message,raw_response
2026-03-14T11:51:14,in/test/TestClass23196.java.jsonl,1,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:51:16,in/test/TestClass23196.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:51:18,in/test/TestClass23196.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:51:18,in/test/TestClass23196.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
2026-03-14T11:51:21,in/test/TestClass10386.java.jsonl,1,MissingKeysError,"The mapping did not contain all required identifiers. Missing: ['func_1', 'var_2', 'var_3', 'var_4']",
2026-03-14T11:51:26,in/test/TestClass10386.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:51:32,in/test/TestClass10386.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:51:32,in/test/TestClass10386.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
2026-03-14T11:55:22,in/test/TestClass62902.java.jsonl,1,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:24,in/test/TestClass62902.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:26,in/test/TestClass62902.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:26,in/test/TestClass62902.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
2026-03-14T11:55:30,in/test/TestClass64726.java.jsonl,1,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:32,in/test/TestClass64726.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:35,in/test/TestClass64726.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:35,in/test/TestClass64726.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
2026-03-14T11:55:37,in/test/TestClass56405.java.jsonl,1,MissingKeysError,"The mapping did not contain all required identifiers. Missing: ['e', 'func_1', 'var_2', 'var_3', 'var_4']",
2026-03-14T11:55:44,in/test/TestClass56405.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:51,in/test/TestClass56405.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:51,in/test/TestClass56405.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
2026-03-14T11:55:53,in/test/TestClass61970.java.jsonl,1,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:55,in/test/TestClass61970.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:57,in/test/TestClass61970.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:55:57,in/test/TestClass61970.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
2026-03-14T11:55:59,in/test/TestClass18107.java.jsonl,1,MissingKeysError,"The mapping did not contain all required identifiers. Missing: ['func_1', 'var_2']",
2026-03-14T11:56:02,in/test/TestClass18107.java.jsonl,2,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:56:06,in/test/TestClass18107.java.jsonl,3,MissingKeysError,The mapping did not contain all required identifiers. Missing: ['func_1'],
2026-03-14T11:56:06,in/test/TestClass18107.java.jsonl,3,FailedRename,All 3 attempts failed to produce a usable mapping for func_1; keeping original test.,
